Parent Agency No.,No.,Name,Address,City,State,Latitude,Longitude,,
G1124,G1124FP,Word of Truth,7227 Stantonsburg Rd,Farmville,NC,35.6075175,-77.5452507,,
G1126,G1126FP,You Need Help Outreach,109 W Rail Road Rd,LaGrange,NC,35.301119,-77.790163,,
G1219,G1219FP,Spirit & Truth Worship Center,1512 N Greene St,Greenville,NC,35.633449,-77.3715277,,
G1225,G1225FP,Love N Action Outreach Inc.,639 Walnut Street,Wilson,NC,35.7282754,-77.9229734,,
G1233,G1233FP,Zion Chapel Food Pantry ,377 Planters St,Ayden,NC,35.4661581,-77.4221533,,
G1234,G1234AS,"The Mercer Foundation, Inc.",1624 Windsor Dr,Rocky Mount,NC,35.9379522,-77.7717513,,
G1236,G1236BP,86Hunger,745 Davenport Farm Rd,Winterville,NC,35.5448145,-77.4126974,,
G1245,G1245FP,MrCharity Inc. DBA Beast Philanthropy ,993-B Brompton Ln,Greenville,NC,35.654637,-77.311591,,
G1245,G1245FP3,MrCharity Inc. DBA Beast Philanthropy,811 Howell St,Greenville,NC,35.5990827,-77.3845177,,
G1245,G1245FP4,MrCharity Inc. DBA Beast Philanthropy,517 Beaufort St,Grimesland,NC,35.5644341,-77.1886018,,
G1246,G1246FP,Rhema Word Christian Center/Wilson,1503 Black Creek Rd,Wilson,NC,35.70777,-77.904936,,
G1247,G1247FP,Last Days Tabernacle,504 C Dexter St,Greenville,NC,35.5770446,-77.3969427,,
G1249,G1249FP,Triumph Missionary Baptist Church,7874 US 264 Hwy,Washington,NC,35.607413,-77.148826,,
G1252,G1252FP,Cornerstone Missionary Baptist Church,1095 Allen Rd,Greenville,NC,35.6069461,-77.4209694,,
G1253,G1253FP,Macedonia Church of Lenoir County,648 Albrittons Rd,Kinston,NC,35.193991,-77.643292,,
G1254,G1254FP,Greater Judah Corporation,2047 S Park Dr Ste C,Winterville,NC,35.5468577,-77.3965927,,
G1258,G1258BP,Covenant Church- Backpack Buddies,4000 Corey Rd,Winterville,NC,35.558706,-77.364824,,
G1260,G1260FP,Wilson Chapel Free Will Baptist Church,513 Barnes St S,Wilson,NC,35.7207661,-77.9078224,,
G1261,G1261FP,First Christian Church,3776 S. Main St,Farmville,NC,35.5963976,-77.5862184,,
N1001,N1001FP,Abundant Life International,1518 Gum Branch Rd,Jacksonville,NC,34.7834937,-77.4220499,,
N1002,N1002FP,Abundant Life Miracle Center,1303 Beaufort St,New Bern,NC,35.1194596,-77.0591788,,
N1002,N1002MFP,Abundant Life Miracle Center,1901 Garden St,New Bern,NC,35.119119,-77.0588,,
N1004,N1004FP,Adelphia CDC Inc,205 Egret St,New Bern,NC,35.108718,-77.082042,,
N1004,N1004FP2,Adelphia CDC Inc Midway Park ,801 Freedom Way,Hubert ,NC,34.7167852,-77.1987111,,
N1004,N1004FP3,Adelphia CDC Inc Belgrade ,482 Springs Hill Rd,Mayseville ,NC,34.872079,-77.237611,,
N1004,N1004MFP,Adelphia CDC Inc Pembroke ,2000 Moore Ave,New Bern ,NC,35.0942117,-77.0664797,,
N1004,N1004MFP2,Adelphia CDC Inc St Mark Bayboro,511 Water Rd.,Bayboro ,NC,35.1538,-76.772168,,
N1004,N1004MPF3,Adelphia CDC Inc Wesley Chapel ,1696 Tuscarora Rd.,New Bern,NC,35.112408,-77.207885,,
N1006,N1006FP,Antioch Community Outreach Inc,762 Antioch Rd,New Bern,NC,35.16769,-77.049584,,
N1008,N1008MFP,Area Day Reporting Program For,915 Main St,New Bern,NC,35.1134299,-77.0489996,,
N1011,N1011FP,Word of God Christian Center,3650 Neuse Blvd,New Bern,NC,35.1380573,-77.0993893,,
N1012,N1012BP,BP - Backpack Blessings,PO Box 1675,New Bern,NC,35.1084931,-77.0441143,,
N1013,N1013BP,BP - United Way of Onslow County,8 Ruth St,Jacksonville,NC,34.7522086,-77.428738,,
N1014,N1014FP,Calvary Baptist Church,1700 Live Oak St,Beaufort,NC,34.7286227,-76.6393435,,
N1014,N1014MFP,Calvary Baptist Church,1219 Island Rd,Harkers Island ,NC,34.6932745,-76.5501974,,
N1014,N1014TF,Calvary Baptist Church,1700 Live Oak St. ,Beaufort,NC,34.7286227,-76.6393435,,
N1024,N1024MFP,First United Methodist Church,126 Park Ln,Sneads Ferry,NC,34.5523377,-77.3933183,,
N1026,N1026FP,Folkstone Original Free Will,133 Old Folkstone Rd,Holly Ridge,NC,34.535613,-77.502033,,
N1031,N1031FP,Havelock Cherry Point,925 E Main St Ste 20,Havelock,NC,34.8644148,-76.8984223,,
N1034,N1034FP,Iglesia de Dios Pentecostal,1042 Country Club Rd,Jacksonville,NC,34.768656,-77.3892391,,
N1038,N1038FP,JT Kerr Memorial Baptist,150 LP Willingham Pkwy,Jacksonville,NC,34.748343,-77.432772,,
N1040,N1040FP,Lighthouse Community Church,2015 US Hwy 70 E,Stacy,NC,34.722583,-76.729732,,
N1040,N1040MFP,Lighthouse Community Church,146 School Dr.,Atlantic,NC,34.8824997,-76.3412012,,
